"tipomov";"c_modelo";"c_fil";"c_op";"c_discrim";"c_mov";"c_cfop";"c_preco";"c_prcusto";"unidade";"qtdsaidas";"qtdentradas";"c_data";"c_codprod";"c_descr";"c_familia";"c_chavenfe";"participante"
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"1556";2299.000000;2299.000;UND;0;1.000;2021-11-08;"00007";MULTIFUNCIONAL DCP-L2540DW LASER MONO BROTHER;;"22210907969885000180550010000566041668990670";RECICLE EXPRESS IND & COM LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"1556";749.000000;749.000;UND;0;1.000;2021-11-08;"00008";ESTABILIZADOR 1500VA BIV/115V POWEREST TS SHARA;;"22210907969885000180550010000566041668990670";RECICLE EXPRESS IND & COM LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"04";NF-E COMPRA P/ USO E CONSUMO;"1";"1556";84.000000;84.000;UND;0;1.000;2021-11-08;"00009";TONER COMP TN660 TN2340 TN2370 BROTHER CARTRIDGE;;"22210907969885000180550010000566041668990670";RECICLE EXPRESS IND & COM LTDA
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";83.180000;32.940;CX ;4.000;0;2021-11-09;"00002";DESINFETANTE CONC LAVANDA 1:10 5LT;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";67.470000;27.880;BB ;4.000;0;2021-11-09;"00006";DETERGENTE DESCARBONIZANTE 5L;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";1.204600;300.320;UND;1000.000;0;2021-11-09;"00010";SACOS P/ LIXO FLIK AZUL 100 LT (75X105X3);;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";3.500000;3.324;PR ;0;9.000;2021-11-09;"00031";LUVAS DE LATEX TAM. P - LALAN;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";3.500000;3.324;PR ;0;9.000;2021-11-09;"00032";LUVAS DE LATEX TAM. G - LALAN;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";4.000000;3.800;PR ;0;9.000;2021-11-09;"00033";LUVAS DE LATEX TAM. M - LALAN;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";195.000000;185.250;UND;0;6.000;2021-11-09;"00034";LIXEIRA COM PEDAL, CAPACIDADE: 50 LITROS. PRASVALE;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";9.000000;8.550;PAR;0;25.000;2021-11-09;"00035";LUVAS NITRILICA LONGA TAM P(VERDE);;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";9.000000;8.550;UND;0;25.000;2021-11-09;"00036";LUVAS NITRILICA LONGA VERDE TAM M- LALAN;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";6.850000;6.508;UND;0;25.000;2021-11-09;"00037";LUVAS NITRILICA LONGA VERDE TAM G- LALAN;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";55.000000;52.250;PAR;0;2.000;2021-11-09;"00038";BOTA PVC CANO LONGO BRANCA N 39 - WORK FLEX;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";55.000000;52.250;PR ;0;2.000;2021-11-09;"00039";BOTA PVC CANO LONGO BRANCA N 40 - WORK FLEX;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";55.000000;52.250;PR ;0;2.000;2021-11-09;"00040";BOTA PVC CANO LONGO BRANCA N 41 - WORK FLEX;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";35.000000;33.250;UND;0;9.000;2021-11-09;"00041";DISPENSADORES DE PAPEL TOALHA;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";45.000000;42.753;UND;0;4.000;2021-11-09;"00042";LIXEIRA COM PEDAL, CAPACIDADE: 15 LITROS.;;"21211137753996000116550010000001501000071506";ADRIANA PEREIRA MOURA EIRELI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";0.695800;192.213;UND;1000.000;0;2021-11-09;"00011";SACOS P/ LIXO FLIK AZUL 50 LT (63X80X3);;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";20.500000;8.330;CX ;7.000;0;2021-11-09;"00012";AGUA SANITARIA 5L AFIK;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";82.860000;32.940;UND;4.000;0;2021-11-09;"00013";DESINFETANTE CONC FLORAL 1:10 5LT CX/04 GL;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";83.180000;32.940;BB ;7.000;0;2021-11-09;"00014";DESINFETANTE CONC IGUATEMI 1:10;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";23.280000;11.250;BB ;5.000;0;2021-11-09;"00015";DICLOR 2% 5L;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";28.620000;8.000;PCT;14.000;0;2021-11-09;"00019";PAPEL TOALHA INTERF BRANCO C/1000 FOLHAS;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";24.090000;3.324;PR ;9.000;0;2021-11-09;"00031";LUVAS DE LATEX TAM. P - LALAN;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";45.000000;45.000;PCT;0;7.000;2021-11-09;"00043";SACO INFECTANTE 0,025 100 LITROS BRANCO 750X1050;;"22211122695254000104550010000039221012293007";PRALIMPAR COM E DISTRIB. DE PROD. DE LIM
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";26.000000;26.000;GL ;0;8.000;2021-11-09;"00044";SABONETE LIQUIDO COMERCIAL 5 LT;;"22211122695254000104550010000039221012293007";PRALIMPAR COM E DISTRIB. DE PROD. DE LIM
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";38.000000;28.000;UND;0;4.000;2021-11-09;"00045";DETERGENTE DESENGORDURANTE 5L;;"22211122695254000104550010000039221012293007";PRALIMPAR COM E DISTRIB. DE PROD. DE LIM
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";24.090000;3.324;PR ;9.000;0;2021-11-09;"00032";LUVAS DE LATEX TAM. G - LALAN;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";24.090000;3.800;PR ;9.000;0;2021-11-09;"00033";LUVAS DE LATEX TAM. M - LALAN;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";568.650000;185.250;UND;6.000;0;2021-11-09;"00034";LIXEIRA COM PEDAL, CAPACIDADE: 50 LITROS. PRASVALE;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";45.800000;16.920;BB ;4.000;0;2021-11-09;"00016";LIMPA VIDRO (VIDROLIM) 5L;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";106.150000;13.027;CX ;9.000;0;2021-11-09;"00018";RISOFT AMACIANTE P/ ROUPA AZUL 5L;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";28.550000;8.550;PAR;25.000;0;2021-11-09;"00035";LUVAS NITRILICA LONGA TAM P(VERDE);;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";28.150000;8.550;UND;25.000;0;2021-11-09;"00036";LUVAS NITRILICA LONGA VERDE TAM M- LALAN;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";164.310000;52.250;PAR;2.000;0;2021-11-09;"00038";BOTA PVC CANO LONGO BRANCA N 39 - WORK FLEX;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";164.310000;52.250;PR ;2.000;0;2021-11-09;"00039";BOTA PVC CANO LONGO BRANCA N 40 - WORK FLEX;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";164.310000;52.250;PR ;2.000;0;2021-11-09;"00040";BOTA PVC CANO LONGO BRANCA N 41 - WORK FLEX;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";107.390000;33.250;UND;9.000;0;2021-11-09;"00041";DISPENSADORES DE PAPEL TOALHA;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";106.330000;45.000;PCT;7.000;0;2021-11-09;"00043";SACO INFECTANTE 0,025 100 LITROS BRANCO 750X1050;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";67.960000;26.000;GL ;4.000;0;2021-11-09;"00044";SABONETE LIQUIDO COMERCIAL 5 LT;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";67.640000;28.000;UND;4.000;0;2021-11-09;"00045";DETERGENTE DESENGORDURANTE 5L;;"22211142247960000109550010000000021000000032";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";53.000000;57.240;UND;0;18.000;2021-11-12;"00051";APARELHO DE PRESSAO ADULTO NYLON C/V S/ESTETO;;"33211106105362000123550010005096141401273400";ACCUMED PRODUTOS MED HOSPITALARES LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";340.000000;367.200;UND;0;1.000;2021-11-12;"00052";APARELHO DE PRESSAO DE PEDESTAL;;"33211106105362000123550010005096141401273400";ACCUMED PRODUTOS MED HOSPITALARES LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";8.800000;10.120;UND;0;8.000;2021-11-12;"00053";TERMOMETRO CLINICO DIGITAL BRANCO;;"33211106105362000123550010005096141401273400";ACCUMED PRODUTOS MED HOSPITALARES LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"2102";119.300000;143.160;UND;0;10.000;2021-11-12;"00054";BALANCA DIGITAL PESSOAL GLASS PRO;;"33211106105362000123550010005096141401273400";ACCUMED PRODUTOS MED HOSPITALARES LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";316.190000;332.000;UND;0;2.000;2021-11-16;"00046";GAVET.VOLANTE MDF 04 GAV.MED.71X48X47;;"22211123511454000203550010000188661000188672";J R D BRANDAO EIRELI(MODELO MOVEIS)
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";371.430000;390.000;UND;0;2.000;2021-11-16;"00047";CAD.EXECUTIVA FIXA PE SKI C/BRACO;;"22211123511454000203550010000188661000188672";J R D BRANDAO EIRELI(MODELO MOVEIS)
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";638.095000;670.000;UND;0;2.000;2021-11-16;"00048";CAD.DIGITADOR EXEC.GIRAT.C/BRACO,BASE BACK SYSTEM;;"22211123511454000203550010000188661000188672";J R D BRANDAO EIRELI(MODELO MOVEIS)
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";109.525000;115.000;UND;0;2.000;2021-11-16;"00049";CADEIRA SEC.FIXA.NEW.ISO.PVC.PRETO;;"22211123511454000203550010000188661000188672";J R D BRANDAO EIRELI(MODELO MOVEIS)
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";655.240000;688.000;UND;0;1.000;2021-11-16;"00050";CAD.PRESID.GIRAT.C/RELAX C/BRACO;;"22211123511454000203550010000188661000188672";J R D BRANDAO EIRELI(MODELO MOVEIS)
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";67.470000;27.880;BB ;11.000;0;2021-11-17;"00006";DETERGENTE DESCARBONIZANTE 5L;;"22211142247960000109550010000000031000000048";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";0.695800;192.213;UND;200.000;0;2021-11-17;"00011";SACOS P/ LIXO FLIK AZUL 50 LT (63X80X3);;"22211142247960000109550010000000031000000048";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";1.204600;300.320;UND;200.000;0;2021-11-17;"00010";SACOS P/ LIXO FLIK AZUL 100 LT (75X105X3);;"22211142247960000109550010000000031000000048";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";20.500000;8.330;CX ;8.000;0;2021-11-17;"00012";AGUA SANITARIA 5L AFIK;;"22211142247960000109550010000000031000000048";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";82.860000;32.940;UND;1.000;0;2021-11-17;"00013";DESINFETANTE CONC FLORAL 1:10 5LT CX/04 GL;;"22211142247960000109550010000000031000000048";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";226.450000;109.650;BB ;5.000;0;2021-11-17;"00017";NEUCLOR NEUTRALIZANTE 20KG;;"22211142247960000109550010000000031000000048";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";45.800000;16.920;BB ;11.000;0;2021-11-17;"00016";LIMPA VIDRO (VIDROLIM) 5L;;"22211142247960000109550010000000031000000048";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Saidas por NF-e / NFC-e;"55";"00";"10";NF-E VENDAS;"5";"5102";28.620000;8.000;PCT;16.000;0;2021-11-17;"00019";PAPEL TOALHA INTERF BRANCO C/1000 FOLHAS;;"22211142247960000109550010000000031000000048";PREFEITURA MUN. DE SAO PEDRO DO PIAUI
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";8.330000;8.330;CX ;0;8.000;2021-11-17;"00012";AGUA SANITARIA 5L AFIK;;"22211104331432000136550010000168701000270699";RICEK INDUSTRIA E COMERCIO LTDA
Entradas por NF-e Emissao de Terceiros;"55";"00";"01";NF-E ENTRADA DE MERCADORIA;"1";"1102";32.940000;32.940;CX ;0;5.000;2021-11-17;"00002";DESINFETANTE CONC LAVANDA 1:10 5LT;;"22211104331432000136550010000168701000270699";RICEK INDUSTRIA E COMERCIO LTDA
